,Id,ProductId,UserId,ProfileName,HelpfulnessNumerator,HelpfulnessDenominator,Score,Time,Summary,Text
74631,74632,B0026RQTGE,A21U4DR8M6I9QN,"K. M Merrill ""justine""",1,1,5,1318896000,addictive! but works for night coughing in dogs,"my 12 year old sheltie has chronic brochotitis, been on meds for three years, these help with the coughing fits at night. so I like them!!!<br /> one bite and both my dogs are addicted!!! be warned!!! 7 pm both shelties are on my lap howling for the drug fix! I am a dog trainer and have never seen  anything like it....<br /><br />three weeks later,, the beloved sheltie got a bowel blockage from these, use with caution.<br />if the cat gets too many she has the runs....<br />sheltie did better when i upped her thryoid meds, and gave her doggie asthma meds.<br />so it worked better for the 18 year old cat, who also has asthma."
74632,74633,B0026RQTGE,A17TDUBB4Z1PEC,jaded_green,1,1,5,1318550400,genuine Greenies best price,"These are genuine Greenies product, not a knockoff.  My dogs love them!  It is their favorite treat.  I have 2 small dogs, both under 10 lbs. and the Teenie size is perfect for them.  I paid $22.37 for this 96-pack and it is by far the best price I have found anywhere.  I wish these were part of the Subscribe & Save program."
74633,74634,B0026RQTGE,ABQH3WAWMSMBH,tenisbrat87,1,1,5,1317168000,Perfect for our little doggies,"Our dogs love Greenies, but of course, which doggies don't?  I bought this for my dashchund and minpin, and it's perfect!  A great price for a great product.  Who could ask for more."
74634,74635,B0026RQTGE,AVTY5M74VA1BJ,tarotqueen,1,1,5,1316822400,dogs love greenies,"What can I say, dogs love greenies. They begg for them all the time. They always sit by the cupboard and ask for more."
74635,74636,B0026RQTGE,A13TNN54ZEAUB1,dcz2221,1,1,5,1316736000,Greenies review,This review is for a box of Greenies Lite for my dog. The package came quickly and was packaged appropriately. I was very satisfied with this purchase and with the seller.
74636,74637,B0026RQTGE,A1AO8A38JUDVAF,chrisdd,1,1,5,1315180800,Magic Breath Chews for your dog,I highly recommend these chews for your dog. They do exactly what they say that they will do; freshen your dog's breath!<br /><br />I found them to be significantly cheaper to buy them at Amazon compared to the chain pet stores; at least $10 cheaper as of Sept. 2011.<br /><br />I have read that some dogs do not chew them well enough and have choked. I have not had that happen to my dog but it is probably something you need to take into consideration.<br /><br />My advice is to buy a smaller bag at a pet store first and see if they work for your animal. Then come back and buy them here!
74637,74638,B0026RQTGE,AH261OMJCV5U8,"Chelle ""Wichita, Kansas""",1,1,5,1314316800,Greenies for Seniors,I have always used Greenies for my dogs. THese for seniors are wonderful. I have an elderly bulldog with really bad breath. She used to swallow the original Greenies whole so I quit buying them for her. She actually does chew these and eat them and they make a big difference in how her breath smells. Great product and the price is better than I have seen it in some local pet stores.
74638,74639,B0026RQTGE,A3VVIU4JE56U4K,P. Chevalier,1,1,5,1314316800,Kinda Pricy but good!,"If you've got hard chewers (like one of our dogs), these things won't really work for the 'brushing' aspect -- they're bussted up and swallowed pretty quickly. We have three Chihuahua mixes, and they dispatched these petite ones too quickly, so we get them the next size up (small, I think). But the product is good, and they really do help a bit with breath -- although the biggest bad-breath-maker is teeth that need brushing, and there is no substitute for real brushing/cleaning.  These are good as part of the process though. We have, and will continue to purchase this product."
74639,74640,B0026RQTGE,A3MWZ2E112KIY4,J. Nakawatase,1,1,5,1313884800,DOG LOVES THESE,"I tried Greenies on my dog about 8 years ago and he won't eat them.  So I tried dental rawhide chews which he chewed just fine.  My dog is now 13 years old and he started to swallow the dental rawhide whole and would choke on them.  I'm not sure because of his age that he tries to swallow them whole, but I'm sure it's not good for him.  I thought I would try the Greenies again because the reviews are good and they break into bits when chewed.  I order the large Greenies for him and he loves them.  I'm not sure if they changed the taste or what, but he chews them, and hopefully it will help maintain his teeth."
74640,74641,B0026RQTGE,A2PRQXWZRHTKE3,Maria Karlsson,1,1,5,1313193600,Great treat and good for dental health,"This is a fabulous treat for my little cavalier king charles. He looks forward to it after his daily dental cleaning. I cut each greenie into smaller pieces, because JB (for James Bond) has long ears and he chews on the smaller pieces without letting anything fall on the floor and sticking to his ears."
74641,74642,B0026RQTGE,A3TDMH1Z8CUBAF,JuneauGal,1,1,5,1310083200,My dogs love these chews!,"I am the lucky parent of three dogs. I alternate their teeth cleaning chews and they love the Greenies and the Checkups best. Thanks to Amazon, I don't have to pay for S&H, which living in Alaska, usually costs a fortune!! Thank you Amazon!! I prefer to purchase from our local pet store, but they aren't able to get the Greenies or the Checkups, so I'm very happy that I can order them through Amazon."
74642,74643,B0026RQTGE,A37565LZHTG1VH,C. Maltese,1,1,5,1305331200,Awesome!,This is a great product. My 2 year old Golden Retriever hates to have his teeth brushed and this product made his teeth white again. Great seller and great price too!
74643,74644,B0026RQTGE,A3C6UEDOZGF8D5,gracefultiger,1,1,4,1292630400,My cat loves the dog greenies,"I was looking for a way to help clean my cat's teeth so at first I tried the feline greenies,but he wouldn't have anything to do with those. I went to the local pet store looking for an alternative and the clerk suggested trying the dog greenies instead. I was skeptical at first so I only bought a couple of individually wrapped samples. Well, my cat absolutely loves the dog greenies! They do seem to help his breath, but I don't know how much they help the plaque and tartar build up. Oh well, it has become the only treat he likes so I will keep buying bulk boxes. I give him one every day, occasionally two, if I need to bribe him to stay inside when I open the door."
74644,74645,B0026RQTGE,A3NNJ2VVOCMRLN,Melisa Sobalvarro,1,1,4,1282608000,whiten your dogs teeth,"Greenies are an excellant way to whiten your dogs teeth. The costs were much lower here, than what you can buy locally at the dog food stores. They have made a great improvment in my dog(s) breath, tarter and overall mouth smell!"
